mainFloorLengthInFt,mainFloorBreadthInFt,ceilingHeightInFt,numberOfFloors,numberOfKitchens,numberOfStandaloneToilets,numberOfFullBathrooms,numberOfRooms,priceOfBagOfCement,priceOfTripOfSand,priceOfWaterInLiters,priceOfDoorD1,priceOfDoorD2,priceOfDoorD3,priceOfWindowW1,priceOfWindowW2,priceOfTilesPerM2,priceOfGraniteInTonnes,priceOfSteelPerM3,priceOfCostOfRoofHalfPlot,estimatedBlocksNeeded,estimatedCementBagsNeeded,estimatedConcreteNeeded,estimatedCost,estimatedCostOfRoofing,estimatedNumDoors,estimatedNumDoorsD1,estimatedNumDoorsD2,estimatedNumDoorsD3,estimatedNumWindows,estimatedNumWindowsW1,estimatedNumWindowsW2,estimatedPricePerConcreteInM3,estimatedSandInTonnesNeeded,estimatedVolumeOfSlabNeeded,estimatedTripsOfSandsNeeded,estimatedSteelNeeded
117.44,88.65,14.18,1.92,0.17,9.36,2.52,8.48,6896.91,48550.12,8.21,19334.01,21591.77,6899.23,58971.69,41878.03,6615.24,18862.97,381196.30,1599451.96,104736.99,5848.97,406.64,81695895.22,2298619.65,32.63,2.92,17.82,11.88,71.07,59.19,11.88,85596.50,2823.86,98.32,455.46,4.07
433.39,98.45,13.77,2.96,6.99,2.53,7.09,6.86,8438.03,42576.04,6.89,24451.28,16556.63,8986.10,57331.35,37273.86,6888.10,16948.35,695522.14,1070236.63,316403.48,17666.54,1228.04,268926503.22,3113550.51,34.20,3.96,20.62,9.62,108.52,98.90,9.62,92339.43,8530.25,402.92,1375.85,12.28
377.62,377.47,12.72,8.61,5.02,5.22,0.31,0.25,7495.87,43472.61,7.98,24409.43,15379.74,8284.40,38837.70,27141.72,7288.19,23754.45,286850.70,1483241.89,984717.16,49328.63,3014.30,769859471.05,7887160.79,34.39,9.61,19.25,5.53,30.26,24.73,5.53,96009.17,25668.47,1346.11,4140.08,30.14
241.97,216.92,14.53,8.50,6.73,8.00,9.76,5.04,8528.66,55853.21,6.55,15235.48,17997.18,10295.86,39664.13,37640.12,7392.46,18452.62,617263.88,1245521.99,1086690.40,46998.45,2263.81,753811039.95,4019042.60,46.28,9.50,19.02,17.76,101.41,83.65,17.76,97452.06,27169.38,495.68,4382.16,22.64
475.75,187.52,11.43,7.43,1.56,2.23,6.66,3.72,6505.91,48431.90,8.57,18833.92,19329.75,11880.65,61637.87,35038.15,7361.17,20220.06,400407.74,1584840.36,931161.16,45058.81,2623.65,628564665.80,6667124.11,37.84,8.43,20.52,8.89,93.29,84.39,8.89,84875.92,24025.55,842.50,3875.09,26.24
433.92,223.92,10.49,8.57,0.93,9.10,6.25,8.39,7023.02,49015.08,5.19,29734.12,18725.03,8660.19,57367.94,36858.17,7462.18,23157.02,307599.30,1574326.97,1690535.74,76340.18,3982.59,1070388340.78,6911736.68,53.08,9.57,28.17,15.35,194.33,178.98,15.35,92381.49,42768.56,917.59,6898.15,39.83
221.96,293.43,14.48,8.76,1.30,5.32,2.71,9.81,4857.86,50231.67,6.55,28048.05,19588.34,9960.46,39246.77,46510.25,7101.47,19831.37,414216.48,1634401.25,1725537.40,73010.79,3363.63,844638907.67,5874817.66,45.26,9.76,27.48,8.02,177.27,169.25,8.02,72784.13,42890.21,615.08,6917.78,33.64
61.34,167.47,15.29,4.90,0.12,4.72,5.40,3.03,8220.25,54260.61,5.49,18724.45,17907.30,7950.59,55939.32,42702.89,6475.68,17464.60,715747.97,1351629.47,188876.61,8856.24,491.68,138710635.00,1929537.62,25.64,5.90,9.61,10.12,34.39,24.26,10.12,93411.60,4829.24,97.02,778.91,4.92
410.47,493.40,10.01,6.68,4.99,8.07,0.06,1.21,5514.84,52505.39,8.91,28439.17,11043.37,11380.30,54981.55,39763.12,6882.06,18247.20,498171.63,845860.30,785295.87,47631.51,3588.53,692407721.38,5361482.08,40.12,7.68,24.31,8.12,64.54,56.42,8.12,75821.96,21760.30,1912.65,3509.73,35.89
235.08,443.70,15.31,4.48,1.35,3.42,0.79,7.91,7918.08,50384.88,9.23,24114.72,21241.23,6693.60,39495.93,29726.21,6028.73,22053.66,323838.58,845235.87,801811.47,41723.44,2676.88,639997110.93,3844828.06,37.70,5.48,28.01,4.21,179.99,175.78,4.21,97881.01,21142.97,985.06,3410.16,26.77
67.68,292.37,11.74,7.97,7.55,3.34,1.37,6.93,4898.90,41021.43,9.20,21583.41,11624.35,9279.44,58165.67,45910.97,6499.48,19098.61,596955.76,1479161.20,679448.70,29479.20,1428.81,318015939.79,2930463.76,31.11,8.97,17.43,4.71,72.70,68.00,4.71,70780.18,17002.11,186.85,2742.28,14.29
227.59,122.82,13.88,8.77,1.21,0.90,0.46,1.08,4960.50,39304.16,9.67,18566.13,19683.99,6524.09,38354.08,32060.73,6880.75,16929.70,635730.17,1077390.52,487247.42,21366.73,1057.00,237353861.18,2537061.76,21.11,9.77,9.98,1.35,20.99,19.64,1.35,67811.72,12227.83,263.98,1972.23,10.57
379.86,318.92,13.85,7.09,4.79,8.05,0.51,2.88,4488.57,31090.16,6.85,17094.62,19228.05,11403.49,68505.25,46590.22,5823.62,24936.07,415036.09,1307083.84,951091.77,47380.18,2873.65,518892126.56,6407568.60,38.37,8.09,21.72,8.56,88.62,80.06,8.56,74339.49,24750.89,1144.04,3992.08,28.74
328.63,294.79,10.81,1.74,1.26,0.18,5.52,1.21,7621.41,41632.37,5.25,23048.16,21706.27,10623.51,55142.21,47054.07,5636.02,17924.79,450071.26,878966.84,118331.53,12724.25,1333.15,218284246.76,3853225.98,25.81,2.74,17.38,5.69,44.81,39.11,5.69,87638.27,4141.87,914.89,668.04,13.33
459.52,188.80,13.76,7.08,0.25,3.97,4.79,1.86,7436.50,45920.03,5.35,24390.14,15013.20,11967.53,61938.68,39500.05,6225.13,21013.49,694473.39,1423526.92,735877.17,36233.37,2162.60,545372186.19,5905525.96,34.36,8.08,17.52,8.76,57.77,49.02,8.76,91624.36,19084.02,819.31,3078.07,21.63
330.13,318.72,15.43,8.46,1.76,4.92,5.37,5.54,4552.20,40000.67,8.94,20482.48,16548.20,10682.27,42067.17,33597.89,5895.25,22548.89,534266.22,1576559.22,1568345.43,69296.42,3476.74,756568338.68,7202705.55,44.28,9.46,24.53,10.29,138.82,128.53,10.29,73176.05,39439.89,993.65,6361.27,34.77
152.57,373.55,10.51,7.18,8.74,9.32,3.02,7.12,8633.74,39734.37,7.84,27557.55,16995.85,11257.96,49188.24,46384.68,7029.40,17062.32,520609.34,826953.32,942300.87,44067.47,2436.41,637806499.19,2780565.16,43.13,8.18,22.62,12.34,130.50,118.16,12.34,93519.91,24074.89,538.23,3883.05,24.36
433.45,234.17,10.87,2.62,5.26,4.37,8.80,1.63,8622.60,38783.86,7.41,20799.58,21301.52,9243.44,59595.14,34440.03,6147.60,19019.11,507638.22,1458933.10,215749.75,17610.12,1632.18,308927821.51,6546569.81,35.16,3.62,18.37,13.16,61.48,48.31,13.16,96068.22,6682.16,958.56,1077.77,16.32
146.69,81.53,13.04,2.48,5.88,3.52,7.20,8.86,8858.35,29072.94,6.68,17895.28,20978.73,6764.57,57310.86,30760.95,6250.31,22554.19,747335.74,1065925.95,145219.51,7893.49,532.93,115713952.11,1641842.85,32.96,3.48,18.76,10.72,76.77,66.05,10.72,101068.71,3881.69,112.95,626.08,5.33
285.93,239.09,13.41,4.68,7.71,1.73,5.59,0.03,6055.12,39063.29,8.37,18202.39,16450.69,9754.54,41455.01,43542.84,6924.12,17356.63,353455.64,1513888.91,309103.07,18254.97,1342.00,253984993.75,5574992.08,26.11,5.68,13.12,7.32,20.86,13.55,7.32,75860.30,8488.38,645.60,1369.09,13.42
111.91,359.28,10.52,3.19,7.25,2.64,7.32,0.05,8434.39,39042.98,5.09,18575.16,21267.46,8677.37,52630.03,34464.25,5731.57,24068.60,674901.74,1384391.87,146729.35,9927.92,817.38,170505420.02,3909754.05,24.26,4.19,10.10,9.96,20.63,10.67,9.96,101826.33,4225.78,379.70,681.58,8.17
